Front_X;Front_Y;Front_Z;Back_X;Back_Y;Back_Z;Timestamp;SpeedShip;Latitude;Longitude;Depth;DistToFloor;Heading;Pitch;Roll;M_UP;M_Down;M_Right;M_Left;VertForvUp;VertForvDown;VertBackUp;VertBackDown;GorizForw;GorizBack;Bat1_50_I;Bat2_50_I;Bat3_50_I;Bat4_50_I;Bat1_27_I;Bat2_27_I;Bat3_27_I;Bat4_27_I;SpeedShipEML;EmiErrorFlag
1320;8648;-34496;6456;22402;-34416;1573218676038808;0.327804;0.785874261;0.617694104;3.92101;4.512;6.05017;-0.130823;0.0627131;5.39381;-10.6555;16.8977;0.0110105;-0.00167904;0.0278071;-0.00798948;0.0018975;-0.00563009;0.00730289;1.59375;2.04688;3.55469;0;1.74;2.13;1.99;0;0;0
1272;8708;-34464;6450;22482;-34424;1573218676058837;0.327804;0.785874261;0.617694104;3.92101;4.512;6.05017;-0.130823;0.0627131;5.39381;-10.6555;16.8977;0.0110105;-0.00167904;0.0278071;-0.00798948;0.0018975;-0.00563009;0.00730289;1.59375;2.04688;3.55469;0;1.74;2.13;1.99;0;0;0
1224;8722;-34594;6374;22502;-34550;1573218676078808;0.327804;0.785874261;0.617694104;3.92101;4.512;6.05017;-0.130823;0.0627131;5.39381;-10.6555;16.8977;0.0110105;-0.00167904;0.0278071;-0.00798948;0.0018975;-0.00563009;0.00730289;1.59375;2.04688;3.55469;0;1.74;2.13;1.99;0;0;0
1248;8722;-34590;6434;22574;-34574;1573218676098870;0.327804;0.785874261;0.617694104;3.92101;4.512;6.05017;-0.130823;0.0627131;5.39381;-10.6555;16.8977;0.0110105;-0.00167904;0.0278071;-0.00798948;0.0018975;-0.00563009;0.00730289;1.59375;2.04688;3.55469;0;1.74;2.13;1.99;0;0;0
1338;8686;-34580;6488;22620;-34506;1573218676118819;0.327804;0.785874261;0.617694104;3.90963;4.512;6.05063;-0.131081;0.0640192;5.39381;-10.6555;16.8977;0.0110105;-0.00167904;0.0278071;-0.00798948;0.0018975;-0.00563009;0.00730289;1.59375;2.04688;3.55469;0;1.74;2.13;1.99;0;0;0
1246;8714;-34606;6476;22458;-34444;1573218676138834;0.327804;0.785874261;0.617694104;3.90963;4.512;6.05063;-0.131081;0.0640192;5.39381;-10.6555;16.8977;0.0110105;-0.00167904;0.0278071;-0.00798948;0.0018975;-0.00563009;0.00730289;1.59375;2.04688;3.55469;0;1.74;2.13;1.99;0;0;0
1172;8722;-34564;6428;22690;-34408;1573218676158815;0.322248;0.785874261;0.617694104;3.90963;4.5111;6.05063;-0.131081;0.0640192;5.39381;-10.6555;16.8977;0.0110105;-0.00167904;0.0278071;-0.00798948;0.0018975;-0.00563009;0.00730289;1.59375;2.04688;3.55469;0;1.74;2.13;1.99;0;0;0
1258;8772;-34518;6416;22654;-34424;1573218676178805;0.322248;0.785874261;0.617694104;3.90963;4.5111;6.05063;-0.131081;0.0640192;5.39381;-18.6875;18.4214;-15.6445;-0.00167904;0.0278071;97.5938;0.0018975;-9.72659;0.00730289;9.125;11.3906;14.5859;0;1.68;2.27;2.16;0;0;0
1316;8708;-34528;6464;22636;-34460;1573218676198805;0.322248;0.785874261;0.617694104;3.90963;4.5111;6.05063;-0.131081;0.0640192;5.53326;-18.6875;18.4214;-15.6445;102.649;102.787;97.5938;0.0018975;-9.72659;0.00730289;9.125;11.3906;14.5859;0;1.68;2.27;2.16;0;0;0
1272;8770;-34438;6532;22544;-34558;1573218676218813;0.322248;0.785874261;0.617694104;3.90963;4.5111;6.05063;-0.131081;0.0640192;5.53326;-18.6875;18.4214;-15.6445;102.649;102.787;97.5938;97.6106;-9.72659;9.66065;9.125;11.3906;14.5859;0;1.68;2.27;2.16;0;0;0
